service_id,date,exception_type
1,20210405,2
1,20210524,2
1,20201224,2
1,20201231,2
1,20210513,2
1,20201225,2
1,20210101,2
1,20210402,2
2,20201221,1
2,20201228,1
2,20210201,1
2,20210329,1
2,20201222,1
2,20201229,1
2,20210202,1
2,20210330,1
2,20210406,1
2,20201223,1
2,20201230,1
2,20210203,1
2,20210331,1
2,20210407,1
2,20210204,1
2,20210401,1
2,20210408,1
2,20210205,1
2,20210409,1
2,20210514,1
3,20201123,2
3,20201130,2
3,20201207,2
3,20201221,2
3,20201228,2
3,20210201,2
3,20210329,2
3,20210405,2
3,20210524,2
3,20201124,2
3,20201201,2
3,20201208,2
3,20201222,2
3,20201229,2
3,20210202,2
3,20210330,2
3,20210406,2
3,20201125,2
3,20201202,2
3,20201209,2
3,20201223,2
3,20201230,2
3,20210203,2
3,20210331,2
3,20210407,2
3,20201119,2
3,20201126,2
3,20201203,2
3,20201210,2
3,20201224,2
3,20201231,2
3,20210204,2
3,20210401,2
3,20210408,2
3,20210513,2
3,20201120,2
3,20201127,2
3,20201204,2
3,20201211,2
3,20201225,2
3,20210101,2
3,20210205,2
3,20210402,2
3,20210409,2
3,20210514,2
4,20201123,1
4,20201130,1
4,20201207,1
4,20201124,1
4,20201201,1
4,20201208,1
4,20201125,1
4,20201202,1
4,20201209,1
4,20201119,1
4,20201126,1
4,20201203,1
4,20201210,1
4,20201120,1
4,20201127,1
4,20201204,1
4,20201211,1
5,20201224,1
5,20201231,1
5,20201226,2
5,20210501,2
6,20201221,2
6,20201228,2
6,20210201,2
6,20210329,2
6,20210405,2
6,20210524,2
6,20201222,2
6,20201229,2
6,20210202,2
6,20210330,2
6,20210406,2
6,20201223,2
6,20201230,2
6,20210203,2
6,20210331,2
6,20210407,2
6,20201224,2
6,20201231,2
6,20210204,2
6,20210401,2
6,20210408,2
6,20210513,2
6,20201225,2
6,20210101,2
6,20210205,2
6,20210402,2
6,20210409,2
6,20210514,2
7,20201221,2
7,20201228,2
7,20210201,2
7,20210329,2
7,20210405,2
7,20210524,2
7,20201222,2
7,20201229,2
7,20210202,2
7,20210330,2
7,20210406,2
7,20201223,2
7,20201230,2
7,20210203,2
7,20210331,2
7,20210407,2
7,20210204,2
7,20210401,2
7,20210408,2
7,20210513,2
7,20201225,2
7,20210101,2
7,20210205,2
7,20210402,2
7,20210409,2
7,20210514,2
7,20201226,2
7,20210501,2
8,20201123,2
8,20201130,2
8,20201207,2
8,20210405,2
8,20210524,2
8,20201124,2
8,20201201,2
8,20201208,2
8,20201125,2
8,20201202,2
8,20201209,2
8,20201119,2
8,20201126,2
8,20201203,2
8,20201210,2
8,20201224,2
8,20201231,2
8,20210513,2
8,20201120,2
8,20201127,2
8,20201204,2
8,20201211,2
8,20201225,2
8,20210101,2
8,20210402,2
9,20201123,2
9,20201130,2
9,20201207,2
9,20201221,2
9,20201228,2
9,20210201,2
9,20210329,2
9,20210405,2
9,20210524,2
9,20201124,2
9,20201201,2
9,20201208,2
9,20201222,2
9,20201229,2
9,20210202,2
9,20210330,2
9,20210406,2
9,20201125,2
9,20201202,2
9,20201209,2
9,20201223,2
9,20201230,2
9,20210203,2
9,20210331,2
9,20210407,2
9,20201119,2
9,20201126,2
9,20201203,2
9,20201210,2
9,20201224,2
9,20201231,2
9,20210204,2
9,20210401,2
9,20210408,2
9,20210513,2
10,20201120,2
10,20201127,2
10,20201204,2
10,20201211,2
10,20201225,2
10,20210101,2
10,20210205,2
10,20210402,2
10,20210409,2
10,20210514,2
11,20201221,1
11,20201228,1
11,20210201,1
11,20210329,1
11,20201222,1
11,20201229,1
11,20210202,1
11,20210330,1
11,20210406,1
11,20201223,1
11,20201230,1
11,20210203,1
11,20210331,1
11,20210407,1
11,20210204,1
11,20210401,1
11,20210408,1
11,20201120,2
11,20201127,2
11,20201204,2
11,20201211,2
11,20201225,2
11,20210101,2
11,20210402,2
12,20201123,1
12,20201130,1
12,20201207,1
12,20201124,1
12,20201201,1
12,20201208,1
12,20201125,1
12,20201202,1
12,20201209,1
12,20201119,1
12,20201126,1
12,20201203,1
12,20201210,1
13,20201120,1
13,20201127,1
13,20201204,1
13,20201211,1
14,20201221,2
14,20201228,2
14,20210201,2
14,20210329,2
14,20210405,2
14,20210524,2
14,20201222,2
14,20201229,2
14,20210202,2
14,20210330,2
14,20210406,2
14,20201223,2
14,20201230,2
14,20210203,2
14,20210331,2
14,20210407,2
14,20201224,2
14,20201231,2
14,20210204,2
14,20210401,2
14,20210408,2
14,20210513,2
15,20201124,2
15,20201201,2
15,20201208,2
16,20201222,1
16,20201229,1
16,20210202,1
16,20210330,1
16,20210406,1
17,20201124,1
17,20201201,1
17,20201208,1
18,20201120,2
18,20201127,2
18,20201204,2
18,20201211,2
18,20201225,2
18,20210101,2
18,20210402,2
19,20201121,1
19,20201128,1
19,20201205,1
19,20201212,1
20,20201121,1
20,20201128,1
20,20201205,1
20,20201212,1
20,20201122,1
20,20201129,1
20,20201206,1
21,20210405,1
21,20210524,1
21,20201224,1
21,20201231,1
21,20210513,1
21,20201225,1
21,20210101,1
21,20210402,1
21,20201121,2
21,20201128,2
21,20201205,2
21,20201212,2
21,20201122,2
21,20201129,2
21,20201206,2
22,20210405,1
22,20210524,1
22,20201224,1
